Article_ID,Title,Link,Authors,Publication_Year,Province,Land_Use_Type,Sample_Type,Concentration (mg/kg) except PHg,Background Concentration (mg/kg),Latitude,Longitude,Compliance with SA Standard for all land uses protective of water,Compliance with Australian Standards,Compliance with Canadian Standards,Compliance with US EPA Standard
1,A scoping study of component-specific toxicity of mercury in urban road dusts from three international locations,https://doi.org/10.1007/s10653-019-00351-1,"Andrew D. Brown, Bongani Yalala, Ewa Cukrowska, Ricardo H. M. Godoi, Sanja Potgieter-Vermaak",2019,Gauteng,CBD,Outdoor dust ,THg (<50um) = 0.482; THg (50-100um) = 0.117,None,-26.2041,28.0473,Yes,Yes,Yes,Yes
2,"A study of the soil geochemistry of the Platreef in the Bushveld Complex, South Africa",https://doi.org/10.1016/0375-6742(85)90004-4,C. Frick,1985,Limpopo,Mining ,Soil,THg (along faults associated wth Platreef mineralisation) = 0.05 - 0.320,THg = 0.02 - 0.035,-24.185,28.995,Yes,Yes,Yes,Yes
3,"Analysis of the Distribution of Some Potentially Harmful Elements (PHEs) in the Krugersdorp Game Reserve, Gauteng, South Africa",https://doi.org/10.3390/min10020151,"Michael Shapi, et al.",2020,Gauteng,Mining ,Soil,THg (<180um) = 0.03 - 0.4,THg = 0.04,-26.1,27.7667,Yes,Yes,Yes,Yes
4,Assessing the enrichment of heavy metals in surface soil and plant (Digitaria eriantha) around coal-fired power plants in South Africa,https://doi.org/10.1007/s11356-013-2432-0,"Olumuyiwa O. Okedeyi, Simiso Dube, Omotayo R. Awofolu, Mathew M. Nindi",2014,Mpumalanga,Industrial,Soil,THg = 0.05 - 1836,18.67,-26.28249,29.14072,Some exceedences,Some exceedences,Some exceedences,Some exceedences
4,Assessing the enrichment of heavy metals in surface soil and plant (Digitaria eriantha) around coal-fired power plants in South Africa,https://doi.org/10.1007/s11356-013-2432-1,"Olumuyiwa O. Okedeyi, Simiso Dube, Omotayo R. Awofolu, Mathew M. Nindi",2014,Free State,Industrial,Soil,THg = 0.08 - 1744,0.031,-26.74194,27.9775,Some exceedences,Some exceedences,Some exceedences,Some exceedences
4,Assessing the enrichment of heavy metals in surface soil and plant (Digitaria eriantha) around coal-fired power plants in South Africa,https://doi.org/10.1007/s11356-013-2432-2,"Olumuyiwa O. Okedeyi, Simiso Dube, Omotayo R. Awofolu, Mathew M. Nindi",2014,Gauteng,Industrial,Soil,THg = 0.07 - 1735,0.031,-25.5558,28.23834,Some exceedences,Some exceedences,Some exceedences,Some exceedences
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0065 - 0.0079 ng/m3,None,-25.944,29.792,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0065 - 0.0079 ng/m3,None,-26.62,30.091,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0079 - 0.0093 ng/m3,None,-25.961,29.339,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Free State,Industrial,Air (PHg),THg = 0.0065 - 0.0079 ng/m3,None,-26.77,28.5,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0079 - 0.0093 ng/m3,None,-26.031,29.601,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0094 - 0.0122 ng/m3,None,-26.088,28.969,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0094 - 0.0122 ng/m3,None,-26.091,29.422,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0122 - 0.0137 ng/m3,None,-26.254,29.18,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Free State,Industrial,Air (PHg),THg = 0.005 - 0.0065 ng/m3,None,-26.74,27.975,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0065 - 0.0079 ng/m3,None,-27.28,29.771,,,,Yes
5,Atmospheric mercury dispersion over the South African Highveld,https://share.google/B1uRHzmoUHfJXZaSL,"Monray D. Belelie, Nisa Ayob, Roelof P. Burger, Andrew D. Venter, Stuart J. Piketh",2025,Mpumalanga,Industrial,Air (PHg),THg = 0.0094 - 0.0122 ng/m3,None,-26.28,29.142,,,,Yes
